"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2376","Normal/Others","WS/MP849/2023-2024/62046-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499952","11-Feb-2024"
"2377","Normal/Others","WS/MP849/2023-2024/62099-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 9 places","14-Dec-2023","449957","11-Feb-2024"
"2378","Normal/Others","WS/MP849/2023-2024/62106-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 18 places","14-Dec-2023","899911.05","11-Feb-2024"
"2379","Normal/Others","WS/MP849/2023-2024/62109-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 15 places","14-Dec-2023","749926.88","11-Feb-2024"
"2380","Normal/Others","WS/MP849/2023-2024/62110-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 3 places","14-Dec-2023","143631","11-Feb-2024"
"2381","Normal/Others","WS/MP849/2023-2024/62112-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649936","11-Feb-2024"
"2382","Normal/Others","WS/MP849/2023-2024/62114-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 11 places","14-Dec-2023","549946","11-Feb-2024"
"2383","Normal/Others","WS/MP849/2023-2024/62115-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 18 places","14-Dec-2023","899912.05","11-Feb-2024"
"2384","Normal/Others","WS/MP849/2023-2024/62116-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649935.43","11-Feb-2024"
"2385","Normal/Others","WS/MP849/2023-2024/62117-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649935.43","11-Feb-2024"
"2386","Normal/Others","WS/MP849/2023-2024/62119-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 12 places","14-Dec-2023","599940","11-Feb-2024"
"2387","Normal/Others","WS/MP849/2023-2024/62126-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649935","11-Feb-2024"
"2388","Normal/Others","WS/MP849/2023-2024/62131-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 12 places","14-Dec-2023","599940","11-Feb-2024"
"2389","Normal/Others","WS/MP849/2023-2024/62133-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 15 places","14-Dec-2023","749926.88","11-Feb-2024"
"2390","Normal/Others","WS/MP849/2023-2024/62150-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649935","11-Feb-2024"
"2391","Normal/Others","WS/MP849/2023-2024/62185-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 20 places","14-Dec-2023","999903","11-Feb-2024"
"2392","Normal/Others","WS/MP849/2023-2024/62187-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499951","09-Feb-2024"
"2393","Normal/Others","WS/MP849/2023-2024/62191-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 13 places","14-Dec-2023","649936","09-Feb-2024"
"2394","Normal/Others","WS/MP849/2023-2024/62192-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 12 places","14-Dec-2023","599940.7","09-Feb-2024"
"2395","Normal/Others","WS/MP849/2023-2024/62198-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 18 places","14-Dec-2023","899911.05","09-Feb-2024"
"2396","Normal/Others","WS/MP849/2023-2024/62201-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 8 places","14-Dec-2023","399959.8","09-Feb-2024"
"2397","Normal/Others","WS/MP849/2023-2024/62203-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499951.25","09-Feb-2024"
"2398","Normal/Others","WS/MP849/2023-2024/62206-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 18 places","14-Dec-2023","899911.05","09-Feb-2024"
"2399","Normal/Others","WS/MP849/2023-2024/62208-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499951.25","09-Feb-2024"
"2400","Normal/Others","WS/MP849/2023-2024/62219-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt Total Place : 16  Amount; 16*50000","14-Dec-2023","799922","09-Feb-2024"
"2401","Normal/Others","WS/MP849/2023-2024/62232-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt  At 10 places Total 10*50000= 500000","14-Dec-2023","499951","09-Feb-2024"
"2402","Normal/Others","WS/MP849/2023-2024/62241-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole 6 lights of 200 watt each","14-Dec-2023","569586","23-Jan-2024"
"2403","Normal/Others","WS/MP849/2023-2024/62306-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","14-Dec-2023","569586","23-Jan-2024"
"2404","Normal/Others","WS/MP849/2023-2024/62310-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multipurpose waiting hall for passengers and police personnel","14-Dec-2023","988978","20-Jan-2024"
"2405","Normal/Others","WS/MP183/2023-2024/63373-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT SALEMPUR NAGLA KHAR MEIN MATA MANDIR TANKI KE PASS HOTE HUYE PRATHMIK VIDYALAYA TAK, INTERLOCKING  WORK. LENGTH= 490 Meter.   Cost 49.935 (Lac).","16-Dec-2023","4958668","02-Jan-2024"
"2406","Normal/Others","WS/MP183/2023-2024/63374-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM NAGLA KHAR KE MAJRA THAAR SE PRATHMIK VIDYALAYA -2 TAK,   INTERLOCKING  WORK. LENGTH= 490 Meter.   Cost 48.881 (Lac).","16-Dec-2023","4851408","02-Jan-2024"
"2407","Normal/Others","WS/MP183/2023-2024/63375-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM BARKATPUR KHANJAPUR BAMBA PAR MUKESH RAJPUT KE GHAR SE  RAMGOPAL KE GHAR TAK, INTERLOCKING  WORK. LENGTH. = 300 Meter.    Cost  36.679 (Lac).","16-Dec-2023","3487637","02-Jan-2024"
"2408","Normal/Others","WS/MP183/2023-2024/63376-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM RAJA KA TAAL ROAD POLICE CHOWKI SE NAAGAU ROAD PAR UDAL KI THAAR TAK, INTERLOCKING  WORK. LENGTH= 490 Meter.  Cost 49.999 (Lac)","16-Dec-2023","4998990","02-Jan-2024"
"2409","Normal/Others","WS/MP183/2023-2024/63425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM CHHICHHAMAI MEIN  ASHOK  YADAV DEALER KE GHAR SE CHAAVAI MATA MANDIR TAK,  INTERLOCKING  WORK. LENGTH= 315 Meter.    Cost  28.988 (Lac)","16-Dec-2023","2874157","02-Jan-2024"
"2410","Normal/Others","WS/MP183/2023-2024/63426-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM GHAGHAU MEIN RAJAN SINGH KE KHET SE SARKARI NALKOOP TAK, INTERLOCKING  WORK. LENGTH= 530 Meter. Cost 49.995 (Lac)","16-Dec-2023","4961053","02-Jan-2024"
"2411","Normal/Others","WS/MP183/2023-2024/63619-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM CHHAICHHAPUR - GHAGHAU MARG SE NAGLA SITARAM TAK, INTERLOCKING  WORK. LENGTH= 435 Meter.    Cost 35.966 (Lac)","16-Dec-2023","3594492","02-Jan-2024"
"2412","Normal/Others","WS/MP183/2023-2024/63620-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM BILASPUR MEIN  SHER SINGH YADAV KE GHAR SE KALICHARAN BALMIKI KE GHAR TAK, INTERLOCKING  WORK. LENGTH= 275 Meter. Cost 26.073 (Lac)","16-Dec-2023","2605773","02-Jan-2024"
"2413","Normal/Others","WS/MP183/2023-2024/63621-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM NAGLA GANGE MEIN PAWAN YADAV KE GHAR SE BALBIR SINGH KE GHAR TAK, INTERLOCKING  WORK. LENGTH= 275 Meter.    Cost 26.537 (Lac)","16-Dec-2023","2652071","02-Jan-2024"
"2414","Normal/Others","WS/MP183/2023-2024/63622-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM PANCHAYAT PAHARPUR, NAGLA UDI MEIN BARGADPUR ROAD SE MATA MANDIR HOTE HUYE MUNNA LAL KE GHAR KI OR,  INTERLOCKING  WORK. LENGTH= 438 Meter.   Cost 41.927  (Lac)","16-Dec-2023","4191844","02-Jan-2024"
"2415","Normal/Others","WS/MP188/2024-2025/63899-Development of playfields and sports grounds","Uttar Pradesh","SHAMLI(DISTRICT MAGISTRATE SHAMLI_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","Construction of a tinshed arena (80ft x 50ft) in Chaudhary Ratan Podiya Khel Parishar (Yuva Shakthi Kaniyan) on their kabaddi ground.","16-Dec-2023","1194224","07-Aug-2024"
"2416","Repair and Renovation","WS/MP138/2023-2024/63932-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement /Construction of Road from Telipatna Road to Soil Conservation Office, Village-Nial, G.P. Nial, Block-AUL, Distt.-Kendrapara","16-Dec-2023","500000","03-Jan-2024"
"2417","Repair and Renovation","WS/MP138/2023-2024/63933-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement /Construction of Road from Radhanagar to Mendhapur in Village-Medhanpur, G.P. Mendhapur, Block-AUL, Distt.-Kendrapara","16-Dec-2023","500000","03-Jan-2024"
"2418","Repair and Renovation","WS/MP138/2023-2024/63934-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Improvement/Construction of Road from Sahira to Digochia in village – Angarakha G.P Sahira Block-AUL, Distt.-Kendrapara","16-Dec-2023","500000","03-Jan-2024"
"2419","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Purchase of Ambulance for  emergency medicals needs of the people across the out skirts of Bhubaneswar in favor of Samarpita Social Foundation Trust Add: Plot No. 3634/4 Palasuni, Bhubaneswar-25 Distt Khordha, BMC Ward No 18, Vide Regd No. 41081711011, mob: 9583463595, email: teamsamarpita@gmail.com","16-Dec-2023","1000000","NA"
"2420","Normal/Others","WS/MP139/2023-2024/64276-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Improvements to the internal roads at 7th cross, 8th cross, 9th cross, 10th cross, 11th cross and 12th cross street at Sudhakar nagar in Oulgaret constituency","17-Dec-2023","3873165","18-Dec-2023"
"2421","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing CC pavement approach road to Mukkulam, in Kottuchery commune Panchayat, Karaikal","17-Dec-2023","850000","NA"
"2422","Normal/Others","WS/MP014/2024-2025/64497-Construction of community centers and community halls","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","New Community Hall in Azhagarnayakkarpatti in T Meenakshipuram Panchayat of Uttamapalayam Municipality, Theni District- 625530","18-Dec-2023","3000000","18-Jun-2024"
"2423","Normal/Others","WS/MP014/2024-2025/64498-Construction of community centers and community halls","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Community Hall in Thamminayakkanpatti Panchayat, Maravapatti, Uttamapalaiyam, Theni District- 625536","18-Dec-2023","3000000","18-Jun-2024"
"2424","Normal/Others","WS/MP014/2024-2025/64499-Construction of community centers and community halls","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Community Hall in Pallavarayanpatti, Pannaipuram, Theni District- 625524","18-Dec-2023","3000000","18-Jun-2024"
"2425","Normal/Others","WS/MP014/2025-2026/64500-Construction of bus-sheds or bus-stops","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Construction of Bus Stop in Bodi -  Uttamapalayam Road East Side, Theni District- 625524","18-Dec-2023","1500000","09-Feb-2026"
"2426","Normal/Others","WS/MP014/2025-2026/64501-Construction of bus-sheds or bus-stops","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Construction of Bus Stop in Bodi - Uttamapalayam Road West Side, Theni District- 625524","18-Dec-2023","1500000","05-Jan-2026"
"2427","Normal/Others","WS/MP014/2026-2027/64502-Construction of water tanks","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Construction of 1 Lakh Liters Over Head Water Tank in Pannaipuram Municipality, Theni District","18-Dec-2023","3500000","19-May-2026"
"2428","Normal/Others","WS/MP014/2025-2026/64503-Construction of public libraries and reading rooms","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Construction of Library Hall in Pannaipuram Municipality, Theni District","18-Dec-2023","3500000","05-Jan-2026"
"2429","Normal/Others","WS/MP014/2025-2026/64653-Construction of buildings for crèches and anganwadies","Tamil Nadu","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","Construction of Building for Anganwadi in Paechiamman Koil Street, Ward No: 10, Pannaipuram Municipality, Theni District.","18-Dec-2023","3000000","14-Nov-2025"
"2430","Normal/Others","WS/MP183/2023-2024/64707-Providing drains and gutters for public drainage","Uttar Pradesh","FIROZABAD(DISTRICT MAGISTRATE FIROZABAD_IDA)","Prof. Ram Gopal Yadav (2020-26) (2020-2026)","Elected MP","GRAM PINDSARA MEIN TALAB SE TANKI (NAALA) TAK NAALA NIRMAN, LENGTH =  300 Meter. Cost 12 (Lac)  C/o SARVESH YADAV, MLA, Sirsaganj.","18-Dec-2023","1199044","22-Feb-2024"
